,macd
0,0.0
1,0.16940991666666605
2,0.08033626506193059
3,-0.6437530359961556
4,-1.8711672076623245
5,-2.2500263980856516
6,-2.7630990158695568
7,-5.054542831069227
8,-6.455369904709869
9,-8.930693840296811
10,-9.939064407645503
11,-9.71470780937696
12,-9.715037313213742
13,-10.507928838723188
14,-11.538192507901528
15,-12.845425069003397
16,-13.864885372571479
17,-13.902214403064818
18,-13.816468693890158
19,-13.549110610749864
20,-13.428936613348554
21,-12.951539120188869
22,-11.85076130908999
23,-11.14695070913018
24,-10.06483686782164
25,-9.085768830957562
26,-8.369581455029078
27,-6.378152638686771
28,-4.35840388599118
29,-1.4946890375864825
30,-0.09531742156173095
31,0.8759275617186688
32,1.3010899792595865
33,0.9512066625003968
34,-0.08588506312003119
35,-0.01565099522505875
36,-0.6679856003235329
37,-1.4501072730526232
38,-3.8460249122530286
39,-5.548108797791912
40,-7.089230106024985
41,-8.217459557677103
42,-8.527484826459585
43,-7.8179060657715524
44,-7.732959747997938
45,-8.31411632145418
46,-8.069120897106046
47,-7.522275514686157
48,-7.454175933559384
49,-7.6194672369387035
50,-7.429334959185496
51,-6.791550919635114
52,-7.421094366840066
53,-8.107344179896302
54,-8.513704162984197
55,-8.521268037859755
56,-8.503067519435689
57,-7.696006219687234
58,-6.627081341023512
59,-6.106058589603833
60,-5.912996520441652
61,-6.01649596907518
62,-5.074121081887085
63,-4.045933406239186
64,-3.17426639584599
65,-2.5053264623742564
66,-1.9207255312283849
67,-1.2265531027484542
68,-0.7046226037120391
69,0.4648067748573794
70,1.518265923618884
71,2.9243858823761855
72,5.007196464310397
73,6.9242913167230995
74,9.368915239283126
75,10.721317170523065
76,11.339626092411294
77,11.371091548169659
78,10.429632578969489
79,6.450775276878261
80,3.409589152584118
81,0.591286066846493
82,-1.0308262036006681
83,-2.3677729480202743
84,-3.8511395143239042
85,-4.377482956488592
86,-5.100224003241124
87,-5.575178149374835
88,-6.425344003122433
89,-6.792519725468736
90,-7.002173105178429
91,-7.234679066717433
92,-5.985756014603368
93,-4.914163035218905
94,-2.8981552730126054
95,-1.5690619154761123
96,-1.2340153695017477
97,-0.9933802763630979
98,-0.7604946571919129
99,0.06500400284647867
100,0.22906226181683564
101,0.13905435944181477
102,0.2516257153438346
103,-0.0026344651487022475
104,-0.17743552247046068
105,-0.2792416468093961
106,-0.7505718349037807
107,-1.5595054899673073
108,-3.100979874817142
109,-4.065490718158628
110,-3.0293878914061736
111,-2.4114098976757816
112,-1.5236090764562675
113,-0.879194615890782
114,0.45454375004857184
115,0.8986368322400722
116,1.2722509768943837
117,1.5618197893867602
118,1.6839668271865094
119,1.7198376611804918
120,2.1476777899519277
121,3.0496766380409213
122,3.9585790162698515
123,3.8675893943973847
124,3.432841090323592
125,3.0527232552935857
126,3.1952677065459625
127,2.710787073158002
128,2.461649207501182
129,2.385520036332167
130,2.040545199907683
131,1.2357828883842785
132,0.8827944786053763
133,0.6580434022359327
134,-0.03576729084829822
135,-1.031617299586145
136,-1.9325781834782276
137,-3.643277193540115
138,-5.972661246713329
139,-7.493487765026515
140,-9.48155090020822
141,-10.550078516094203
142,-11.121176201976482
143,-11.044298058772341
144,-10.862654458913227
145,-10.323529106233167
146,-10.074823176370785
147,-9.752732046690909
148,-9.471443089299726
149,-9.158178034331428
150,-8.642007158731587
151,-7.689281784041924
152,-6.858222078400985
153,-5.858014428722896
154,-4.824775099912102
155,-4.202753468318491
156,-3.844894445438854
157,-3.6970259509619723
158,-3.433285900472157
159,-3.1187726283869495
160,-2.9244013366377715
161,-2.6664617066668086
162,-3.2379555719781195
163,-4.572546930195642
164,-4.782192494818304
165,-5.322438822075696
166,-5.660899431591275
167,-6.095519270273655
168,-5.9003980989066065
169,-5.94975471874443
170,-5.7777875757197705
171,-5.8448219195076945
172,-5.774854459462148
173,-5.546576122761849
174,-5.206802841117764
175,-4.127657667022845
176,-3.1929170248288017
177,-2.8737910129127044
178,-2.3610524327776545
179,-2.1974527781425195
180,-1.3956162559667575
181,-0.6964578203279075
182,0.03920025192940102
183,1.3303302310989409
184,2.3081119684441376
185,2.892683430384068
186,3.1200222590793487
187,3.6890718201947834
188,3.8970268246420687
189,4.231324106757086
190,4.240997120635143
191,6.207086493775137
192,7.726329360913468
193,8.525100273345458
194,9.58116850174278
195,10.71121551419472
